Accounting,||,ACCT352,ACCT402,ACCT451,ACCT461,ACCT495,ACCT499,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine and Performing Arts- Studio Art,s4,FNAR322,FNAR324,FNAR326,FANR327,FNAR331,FNAR332,FNAR333,FNAR334,FNAR341,FNAR351,FNAR352,FNAR401,FNAR402,FNAR488,\s4,s2,FNAR117,FNAR118,FNAR121,FNAR128,FNAR204,FNAR205,FNAR224,FNAR226,FNAR227,FNAR241,FNAR251,FNAR252,\s2,s2,FNAR201,FNAR202,FNAR204,FNAR371,FNAR372,FNAR373,FNAR374,FNAR375,FNAR376,FNAR377,FNAR378,FNAR379,FNAR380,FNAR381,FNAR395,FNAR403,FNAR490,CLST311,CLST312,\s2,||,FNAR371,FNAR377,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- Classical Languages,n24 o9-200,>=LATN200,\n24,s4,>=CLST100,>=GREK100,\s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- Classical Studies,s7,CLST301,CLST302,CLST311,CLST312,CLST313,CLST414,CLST415,POLS340,POLS357,HIST301,HIST302,HIST303,HIST312,HIST403,HIST415,\s7,||,>=GREK100,>=LATN100,COMM249,FNAR201,POLS340,POLS357,HIST301,HIST302,HIST303,HIST312,HIST403,HIST415,PHIL201,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- French,||,MLAN203,MLAN205,MLAN206,MLAN207,\||,||,FREN302,FRN308,\||,s2,FREN301,FREN303,FREN314,\s2,||,FREN390,FREN353,FREN354,\||,s2,MLAN308,>=FREN300,\s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- German,||,MLAN203,MLAN205,MLAN206,MLAN207,\||,||,GERM302,GERM308,\||,||,GERM351,GERM352,\||,s3,MLAN308,>=GERM300,\s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- Spanish,||,MLAN203,MLAN205,MLAN206,MLAN207,\||,s2,SPAN301,SPAN303,SPAN314,SPAN321,\s2,||,SPAN302,SPAN308,\||,s2,SPAN351,SPAN352,SPAN353,SPAN354,\s2,||,SPAN471,SPAN472,SPAN473,\||,s3,MLAN308,>=SPAN300,\s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History,s2,HIST304,HIST305,HIST324,HIST325,HIST327,HIST336,HIST341,HIST342,HIST346,HIST348,HIST349,HIST350,HIST351,HIST352,HIST354,HIST355,HIST356,HIST357,HIST358,HIST407,HIST435,HIST443,HIST446,HIST480,HIST485,HIST489,\s2,s2,HIST301,HIST302,HIST303,HIST306,HIST308,HIST313,HIST317,HIST320,HIST321,HIST326,HIST329,HIST338,HIST339,HIST379,HIST380,HIST408,HIST415,HIST423,HIST432,\s2,s2,HIST312,HIST335,HIST343,HIST347,HIST360,HIST364,HIST367,HIST368,HIST370,HIST375,HIST376,HIST382,HIST389,HIST403,HIST405,HIST413,HIST462,HIST466,HIST479,\s2,>=HIST300,>=HIST300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Science,||,MATH135,MATH140,MATH148,MATH235,MATH260,\||,n12,CPSC336,CPSC428,CPSC429,CPSC255,CPSC280,CPSC480,BUSN305,CPSC336,CPSC441,\n12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Studies,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Studies- Constitutional Studies,||,AMST330,AMST335W,AMST350,PHIL425,\||,s6,AMST120,AMST330,AMST335W,AMST350,AMST390,BUSN302,BUSN351,BUSN352,CLST101,ECON310,COMM305,HIST304,HIST305,HIST341,HIST349,HIST354,HONR322,HONR323,PHIL205,PHIL321W,POLS240,POLS243,POLS320,POLS327,POLS333,POLS344,POLS347,POLS359,POLS363,POLS368W,POLS375,RSTD321,\s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Studies- Humanities,s5,AMST195,AMST295,AMST310,AMST330,AMST335W,AMST340,AMST395,AMST399,AMST495,AMST499,CLST101,DANC205,ENGL315,ENGL241,ENGL342,ENGL343,ENGL345,ENGL346,ENGL381,ENGL385,ENGL410,ENGL412,FNAR372,FNAR375,HIST121,HIST122,HIST304,HIST305,HIST324,HIST327,HIST336,HIST341,HSIT348,HIST349,HIST350,HIST351,HIST352,HIST354,HIST355,HIST356,HIST357,HIST358,HIST372,HIST453,HONOR322,HONOR323,MUSC214,PHIL312,PHIL425,RSTD319,RSTD338,THEA346,THEA361W,\s5,s2,AMST120,AMST195,AMST295,AMST330,AMST335W,AMST340,AMST350,AMST395,AMST399,AMST495,AMST499,BUSN351,COMM320,COMM326,COMM330,COMM335,COMM341,COMM415,COMM425,ECON302,ECON375W,ECON475,POLS101,POLS202,POLS240,POLS243,POLS316,POLS320,POLS323,POLS333,POLS344,POLS347,POLS354,POLS359,POLS363,POLS375,POL382,POLS395,POLS454,HONR360,SOCL303,SOCL314,SOCL316,SOCL320,SOWK368W,\s2,||,AMST195,AMST295,AMST340,AMST390,AMST395,AMST495,ANTH377,COMM340,ECON470,ENGL320W,ENGL425,FNAR377,GEOG308,POLS215,POLS311W,POLS358,POLS368W,POLS402,HIST325,HIST469,HONR490W,PHIL315,PSYC320,SOCL377,\||
Interdisciplinary Studies- Social Science,s5,AMST120,AMST195,AMST295,AMST330,AMST335W,AMST340,AMST350,AMST395,AMST399,AMST495,AMST499,BUSN351,COMM320,COMM326,COMM330,COMM335,COMM341,COMM415,COMM425,ECON302,ECON375W,ECON475,POLS101,POLS202,POLS240,POLS243,POLS316,POLS320,POLS323,POLS333,POLS344,POLS347,POLS354,POLS359,POLS363,POLS375,POL382,POLS395,POLS454,HONR360,SOCL303,SOCL314,SOCL316,SOCL320,SOWK368W,\s5,s2,AMST195,AMST295,AMST310,AMST330,AMST335W,AMST340,AMST395,AMST399,AMST495,AMST499,CLST101,DANC205,ENGL315,ENGL241,ENGL342,ENGL343,ENGL345,ENGL346,ENGL381,ENGL385,ENGL410,ENGL412,FNAR372,FNAR375,HIST121,HIST122,HIST304,HIST305,HIST324,HIST327,HIST336,HIST341,HSIT348,HIST349,HIST350,HIST351,HIST352,HIST354,HIST355,HIST356,HIST357,HIST358,HIST372,HIST453,HONOR322,HONOR323,MUSC214,PHIL312,PHIL425,RSTD319,RSTD338,THEA346,THEA361W,\s2,||,AMST195,AMST295,AMST340,AMST390,AMST395,AMST495,ANTH377,COMM340,ECON470,ENGL320W,ENGL425,FNAR377,GEOG308,POLS215,POLS311W,POLS358,POLS368W,POLS402,HIST325,HIST469,HONR490W,PHIL315,PSYC320,SOCL377,\||
Management,||,BUSN440,MGMT450,MGMT454,MGMT455,MGMT495,MGMT499,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing,||,MKTG310,MKTG420,MKTG454,MKTG495,MHTG499,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics- BA,||,MATH140,MATH148,\||,||,MATH128,>=CPSC125,\||,||,MATH451,MATH499,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics- BS,||,MATH140,MATH148,\||,||,MATH460,MATH470,\||,||,MATH451,MATH499,\||,s5,MATH320,MATH410,MATH420,MATH335,MATH435,MATH330,MATH345,MATH373,MATH350,MATH373,MATH350,MATH355,MATH380,MATH440,MATH365,MATH378,\s5,n9,>=MATH300,\n9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics- Computational and Applied Biology and Life Sciences,||,MATH140,MATH148,\||,||,MATH451,MATH499,\||,s2,CPSC270,PHYS341,MATH335,MATH380,\s2,|&,CPSC250,CPSC250l,|,CPSC255,\&|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics- Computational and Applied Economics,||,MATH140,MATH148,\||,||,MATH451,MATH499,\||,s2,CPSC270,PHYS341,MATH335,MATH380,\s2,|&,CPSC250,CPSC250l,|,CPSC255,\&|,||,MATH125,MATH435,\||,>=ECON300,|&,BIOL107,BIOL108,BIOL109L,|,BIOL211,BIOL211L,BIOL212,BIOL212L,|,BIOL211,BIOL211l,BIOL213,BIOL213L,|,CHEM103,CHEM103l,CEHM104,CHEM104l,|,CHEM121,CHEM121L,CHEM122,CHEM122L,|,PHYS151,PHYS151L,PHYS152,PHYS152L,|,PHYS201,PHYS201L,PHYS202,PHYS202L,\&|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathematics- Computational and Applied Physics, Dynamics, and Engineering",||,MATH140,MATH148,\||,||,MATH451,MATH499,\||,s2,CPSC270,PHYS341,MATH335,MATH380,\s2,|&,CPSC250,CPSC250l,|,CPSC255,\&|,|&,CPEN214,|,ENGR211,ENGR211L,|,ENGR213,\&|,||,>=PHYS300,>=CPEN300,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music- Composition,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music- CreativeStudies,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music- MusicStudies,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music- Performance,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music- Pre-Certification Choral,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music- Pre-Certification Instrumental,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuroscience,>=MATH135,>=NEUR300,|&,BIOL307,BIOL307L,|,BIOL313,|,BIOL314,BIOL314L,|,BIOL411,|,BCHM414,BCHM414L,|,CHEM322,CHEM322L,|,CPSC471,\&|,|&,PSYC305,|,PSYC406,PSYC406L,|,PSYC408,PSYC408L,|,PSYC415,PSYC415L,|,PSYC428,PSYC428L,\&|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophy,||,PHIL304,PHIL315,PHIL319,PHIL337,PHIL376,PHIL384,\||,||,PHIL305,PHIL317,PHIL320,PHIL308,\||,s4,>=PHIL300,>=RSTD300,\s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophy- Pre-Seminary Studies,||,RSTD220,RSTD232,RSTD260,RSTD265,RSTD270,\||,||,RSTD319,RSTD335,RSTD350,PHIL317,PHIL348,PHIL349,\||,||,RSTD312,RSTD326W,RSTD337,RSTD338,PHIL304,PHIL306,PHIL308,PHIL315,PHIL319,PHIL337,PHIL376,\||,||,RSTD236,RSTD310,RSTD318,RSTD330,RSTD340,RSTD345,\||,s2,>=RSTD100,>=PHIL100,\s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philosophy- Religious Studies,s3,RSTD220,RSTD232,RSTD260,RSTD265,RSTD270,RTD318,RSTD319,RSTD335,RSTD340,RSTD350,\s3,s3,>=RSTD300,>=PHIL300,\s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Political Science,n21 o3-200,>=POLS200,\n21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycology- BA,>=PSYC300,>=PSYC300,>=PSYC300,>=PSYC400,>=PSYC400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycology- BS,>=PSYC300,>=PSYC300,>=PSYC300,>=PSYC400,>=PSYC400,|&,BIOL107,BIOL108,BIOL109L,|,BIOL211,BIOL211L,BIOL212,BIOL212L,|,BIOL211,BIOL211l,BIOL213,BIOL213L,|,CHEM103,CHEM103l,CEHM104,CHEM104l,|,CHEM121,CHEM121L,CHEM122,CHEM122L,|,PHYS151,PHYS151L,PHYS152,PHYS152L,|,PHYS201,PHYS201L,PHYS202,PHYS202L,\&|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Work,>=BIOL100,||,SOCL205,ANTH203,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
