Written Communication Literacy 1 (3 credits),ENGL123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Written Communication Literacy 2 (3 Credits),ENGL223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Language Literacy (3 credits),ARAB201,CHIN201,FREN200,FREN201,GERM200,GERM201,ITAL200,ITAL201,LATN200,LATN201,SPAN200,SPAN201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathmatical Literacy (3 credits),MATH115,MATH121,MATH123,MATH125,MATH127,MATH128,MATH130,MATH131,MATH135,MATH140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Expressions (3 Credits),CLST307,CLST311,CLST312,DANC204,DANC205,ENGL215,ENGL221,ENGL250,ENGL256,ENGL304W,FNAR128,FNAR201,FNAR202,FNAR204,FNAR205,FNAR241,FNAR331,FNAR332,FNAR333,FNAR371W,FNAR372,FNAR373,FNAR374,FNAR375,FNAR376,FNAR378,FNAR379,FNAR380 ,FNAR381,MLAN203,MLAN207,MLAN310,MUSC101,MUSC102,MUSC103,MUSC105,MUSC106,MUSC111,MUSC112,MUSC114,MUSC117,MUSC204,MUSC205,MUSC206,MUSC214,MUSC315,PHIL306,RSTD312,SPAN471,THEA150,THEA210,THEA230,THEA250,THEA352,THEA355,THEA365W
Global and Multicultural Perspectives (3 Credits),AMST300,ANTH203,ANTH309,ANTH325,ANTH330,ANTH377,CLST415W,COMM340,DANC260,DANC360,ENGL310,ENGL313,ENGL320W,FREN 353,HIST111,HIST112,HIST212,IDST205,IDST255,IDST267,LDSP330,MLAN220,MLAN308,MLAN371,MUSC306,PHIL201,PHIL252,PHIL305,PHIL344,PHIL349,RSTD210,RSTD211,RSTD218,RSTD260,RSTD270,RSTD335,RSTD345,RSTD366,SOCL201,SOCL309,SOCL325,SOLC330,SOCL377,SPAN351,SPAN352,,,,,,,,,,,
Investigating the Natural World (7 credits),ANTH200,BIOL107,BIOL108,BIOL111,BIOL113,BIOL115,BIOL109L,CHEM103,CHEM103L,CHEM104,CHEM104L,CHEM110,CHEM121,CHEM121L,CHEM 122,CHEM122L,GEOG 211,PHYS 141,PHYS105L,PHYS143,PHYS144,PHYS151,PHYS151L,PHYS152,PHYS152L,PHYS201,PHYS201L,PHYS202,PHYS202L,PSYC 201,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Traditions (3 Credits),AMST200,CLST101,CLST201,CLST211,CLST212,CLST301,CLST302,CLST313,CLST414,COMM249,ECON320,ENGL105,ENGL216,ENGL271,ENGL381,FREN354,HIST122,HIST213,HIST214,HIST349,IDST240,MLAN205,MLAN206,MUSC262,PHIL202,PHIL215,PHIL317,PHIL319,PHIL320,PHIL384,RSTD212,RSTD232,RSTD236,RSTD265,RSTD321,RSTD330,RSTD350,RSTD361,RSTD362,SPAN353,SPAN354,SPAN472,,,,,,,,,,,,,,
